,ACC,F1,REC,PRE
count,1.0,1.0,1.0,1.0
mean,0.9658976298537569,0.5457227138643068,0.5799373040752351,0.5153203342618384
std,,,,
min,0.9658976298537569,0.5457227138643068,0.5799373040752351,0.5153203342618384
25%,0.9658976298537569,0.5457227138643068,0.5799373040752351,0.5153203342618384
50%,0.9658976298537569,0.5457227138643068,0.5799373040752351,0.5153203342618384
75%,0.9658976298537569,0.5457227138643068,0.5799373040752351,0.5153203342618384
max,0.9658976298537569,0.5457227138643068,0.5799373040752351,0.5153203342618384
